ID,Language,Lexeme,POS,Contlex,Inflex Type
38593,sms,absoluuttlaž,A,A_MEERSAZH,1
38595,sms,ođđäiggsaž,A,A_MEERSAZH,1
38597,sms,tollsââʹjvuâlaž,N,N_KUYLAZH,3
38599,sms,čuõvvpirsteei,N,N_PRSPRC-EEI,X
38601,sms,tuâǥǥmiârr,N,N_PUOAVV,1
38603,sms,vuõivâšn,N,N_,X
38606,sms,tõn määʹttest,Adv,ADV_,X
38608,sms,kasttummuš,N,N_MAINSTUMMUSH,2
38609,sms,puânnjmõš,N,N_SAJOS,1
38612,sms,šnuårtõõllâd,V,V_LAUKKOOLLYD,1
38614,sms,vuõivâšnpõõssmõš,N,N_SAJOS,1
38616,sms,tiuddsååbbar,N,N_SOAOABBAR,2
38618,sms,cõõggõõtti,A,A_PRSPRC-VVCC-I,X
38620,sms,oudldâʹstted,V,V_CEQPCCED,1
38621,sms,õõudldâʹstted,V,V_CEQPCCED,1
38622,sms,ooudldâʹstted,V,V_CEQPCCED,1
38623,sms,õudldâʹstted,V,V_CEQPCCED,1
38624,sms,tossveed,V,V_SILTTEED,2
38626,sms,iimstummuš,N,N_MAINSTUMMUSH,2
38631,sms,kaaʹǩǩi,N,N_HOQPPI,2
38633,sms,reepčttummuš,N,N_MAINSTUMMUSH,2
38635,sms,paakkõõttmõš,N,N_SAJOS,1
38638,sms,muuʒ,N,N_MUU3,3
38639,sms,kuõnn,N,N_MUORR,1
38641,sms,šäkkai,A,A_SAELTTAI,X
38643,sms,sääʹmteʹǧǧ,N,N_AQKHKH,1
38647,sms,toʹlccâm-muõrr,N,N_MUORR,1
38649,sms,njiʒʒšõõttâd,V,V_LAUKKOOLLYD,1
38651,sms,njuhččâmtääuʹtaž,N,N_KUYLAZH,3
38653,sms,seiʹnnpõʹmmjid liʹjmmjed,V,V_,5
38655,sms,mediaǩeʹrjjpõrtt,N,N_ALGG,1
38657,sms,cennõõlli,N,N_PRSPRC-VVCC-I,X
38659,sms,veill,N,N_PEIGG,1
38661,sms,kramppõõllmõš,N,N_SAJOS,1
38663,sms,vuõjjâmsaʹppi,N,N_HOQPPI,2
38665,sms,kâddmõš,N,N_SAJOS,1
38667,sms,fiʹlmmraajji,N,N_PRSPRC-VVCC-I,X
38669,sms,joorbeemvuâkkõs,N,N_SAJOS,1
38671,sms,rieʹŋǧǧteei,N,N_PRSPRC-EEI,X
38673,sms,nânsmâʹtted,V,TV_KAEQTTED,1
38675,sms,peâmmamluʹvddkåʹdd,N,N_LOAQDD,1
38677,sms,čäppjed,V,V_KUYDHDHDHJED,4
38679,sms,šejjšted,V,V_,3
38680,sms,šejšted,V,V_POAGXSTED,3
38681,sms,šuõnjsted,V,V_AALGXTED,3
38686,sms,mäʹhssemoudldõs,N,N_SAJOS,1
38688,sms,pelljai,A,A_SAELTTAI,X
38689,sms,peʹlljas,A,A-ATTR_,X
38691,sms,vaaldšemǩiõll,N,N_MUORR,1
38693,sms,nääiʹt-aa,Adv,ADV_,X
38695,sms,puʹtsted,V,V_KOAQMRDED,3
38698,sms,kollʼjemvuõtt,N,N_MUORR,1
38700,sms,leppad,V,V_LEPPAD,1
38702,sms,vännaikõpp,N,N_TOLL,1
38704,sms,snaʹddjin pââʹnned,V,V_,5
38706,sms,kâuʹrr käʹrrevpieʹcc,N,N_PIEAQSS,1
38708,sms,skiârri,N,N_PRSPRC-VWCC-I,X
38710,sms,nooʹrmeld,Adv,ADV_,X
38713,sms,žaaʹllʼjeejas,A,A-ATTR_,X
38715,sms,čåuʹjjuhss,N,N_SIJDD,1
38718,sms,kaiddõõttâd,V,V_LAUKKOOLLYD,1
38720,sms,kääʹnn,N,N_SAAQMM,1
38722,sms,iʹlmmtõõttâmäiʹǧǧ,N,N_PAIQKHKH,1
38724,sms,neurrad,V,V_MEINNAD,1
38727,sms,soʹrččipäʹhtt,N,N_TAQHTT,1
38729,sms,sluusnai,A,A_SAELTTAI,X
38733,sms,šuõnstemhåidd,N,N_AELDD,1
38735,sms,põrttsäʹppli,N,N_SAQPPLI,4
38738,sms,skaʹnnrõʹstti,N,N_PRSPRC-VXYY-I,X
38741,sms,sâʹllõõtti,N,N_PRSPRC-VVCC-I,X
38743,sms,valpur,N,N_ATOM,1
38746,sms,nuuʹbb ååsk ooumaž,N,N_OOUMAZH,X
38747,sms,nuʹbbååsklaž,N,N_MEERSAZH,1
38750,sms,peâmmpäʹrnnvuäʹpstummuš,N,N_MAINSTUMMUSH,2
38753,sms,ǩeäʹtǩǩpeärtam,N,N_KHEYLGXAL,2
38755,sms,meäkktõs,N,N_SAJOS,1
38757,sms,pueiddai,A,A_PRSPRC-VWXYY-AI,X
38759,sms,pååđkâʹnfeât,N,N_,X
38761,sms,kueʹdškueʹtted,V,TV_SHKUEAQTTED,1
38763,sms,kååʹđđemvuäʹdd,N,N_JEAQNNN,1
38765,sms,luâđastvuejjamautt,N,N_AUTT,1
38767,sms,njälǥsmed,V,IV_JOARGXSTED,3
38769,sms,jukkmõš,N,N_SAJOS,1
38771,sms,suʹddoolâž,N,N_MUORYZH,3
38773,sms,määnpââʹjj,N,N_PAAQJJ,1
38775,sms,čuäʹjtemvueʹǩǩ,N,N_VUEQSS,1
38777,sms,piõggväʹll,N,N_LOAQDD,1
38779,sms,innvahtt,N,N_VAHTT,1
38782,sms,jokkrääkk,N,N_RAEAEKK,1
38784,sms,skuʹvvõõttmõš,N,N_SAJOS,1
38786,sms,põõlted,V,V_AALGXTED,3
38789,sms,vuõppâsiʹʒʒe,N,N_,X
38791,sms,ruânnjânnmallaš,A,A_TOBDDSALLASH,X
38792,sms,ruânnjânnmneǩ,N,N_KAADHNEKH,1
38794,sms,vueŋas,N,N_,X
