ID,Kieli,Lekseemi,Sanaluokka,Jatkoleksikko,Taivutustyyppi
1659,sms,čooǥǥlõs,A,A-ATTR_,X
1699,sms,njââlʼjeei,A,A_PRSPRC-EEI,3
1718,sms,miõllsaž,A,A_MEERSAZH,1
1749,sms,škuärteei,A,A_PRSPRC-EEI,3
1786,sms,loʹsses,A,A-ATTR_,X
1800,sms,čuõʒʒtõõttâm,A,A_AANAR,2
1812,sms,väjjneei,A,A_PRSPRC-EEI,3
1842,sms,lâuʹǩǩeei,A,A_PRSPRC-EEI,3
1879,sms,vueiʹttjab,A,A_IS_ADJ-DER/COMP_kwlmmsab,X
2010,sms,vuõjtem,A,A_NALLSHEM,1
2011,sms,vuõjteʹm,A,A_NALLSHEM,1
2015,sms,iskredeei,A,A_PRSPRC-EEI,3
2030,sms,aktiivjeei,A,A_PRSPRC-EEI,3
2048,sms,arggpeeiʹv,A,A_GENATTR,X
2050,sms,võõrseäǥǥaž,A,A_KUYLAZH,3
2083,sms,vätkkles,A,A-ATTR_,X
2084,sms,väʹtǩǩel,A,A_AANAR,2
2091,sms,kuåncc,A,A_,X
2092,sms,kraʹntti,A,A_,X
2093,sms,kobrrai,A,A_PRSPRC-VXYY-AI,X
2109,sms,mââimõs,A,A_SAJOS,1
2121,sms,levvjeei,A,A_PRSPRC-EEI,3
2175,sms,reäbǯǯjeei,A,A_PRSPRC-EEI,3
2205,sms,väänhas,A,A-ATTR_,X
2206,sms,väänhai,A,A_PAERRAI,X
2207,sms,ääʹppteʹmes,A,A-ATTR_,X
2245,sms,čuärvvai,A,A_SAELTTAI,X
2246,sms,čuärvvas,A,A-ATTR_,X
2272,sms,ormmõõvvâm,A,A_AANAR,2
2305,sms,ǩiõʹrǧǧes,A,A-ATTR_,X
2306,sms,ǩiõrggâd,A,A_VISKKYD,2
2312,sms,kuånccõõllâs,A,A_,X
2314,sms,tuʹššen,A,A_,X
2315,sms,tuʹšš,A,A_NUQBB,1
2319,sms,teemlaž,A,A_MEERSAZH,1
2340,sms,vaajtõõvvi,A,A_PRSPRC-VVCC-I,X
2368,sms,pääʹtrjeei,A,A_PRSPRC-EEI,3
2394,sms,leujjai,A,A_PRSPRC-VXYY-AI,X
2395,sms,vätkkai,A,A_PRSPRC-VXYY-AI,X
2407,sms,toovâr,A,A_KOONJYL,2
2411,sms,kaauplaž,A,A_MEERSAZH,1
2429,sms,älššas,A,A-ATTR_,X
2433,sms,hõõžžeei,A,A_PRSPRC-EEI,3
2434,sms,čiinʼjeei,A,A_PRSPRC-EEI,3
2453,sms,viõkkšõõvvi,A,A_PRSPRC-VVCC-I,X
2454,sms,veâhssai,A,A_PRSPRC-VWHYY-AI,X
2473,sms,jaukki,A,A_PRSPRC-VXYY-I,X
2475,sms,påǥsteeʹes,A,A_,X
2494,sms,jeällteei,A,A_PRSPRC-EEI,3
2499,sms,huddrõs,A,A-ATTR_,X
2500,sms,huuddâr,A,A_AANAR,2
2537,sms,reäbǯǯai,A,A_SAELTTAI,X
2546,sms,reepčtteei,A,A_PRSPRC-EEI,3
2559,sms,näʹǩǩel,A,A_AANAR,2
2588,sms,koolčtõʹtti,A,A_PRSPRC-VCC-I,X
2603,sms,vuõiggvuõđ meâldlaž,A,A_MEERSAZH,1
2615,sms,lokstõõvvi,A,A_PRSPRC-VVCC-I,X
2652,sms,kurggleei,A,A_PRSPRC-EEI,3
2668,sms,vääivaž,A,A_KUYLAZH,3
2669,sms,vääivaš,A,A_VAALMYSH,X
2671,sms,jääʹmteei,A,A_PRSPRC-EEI,3
2722,sms,ciireei,A,A_PRSPRC-EEI,3
2726,sms,viileei,A,A_PRSPRC-EEI,3
2727,sms,leuʹǩǩeei,A,A_PRSPRC-EEI,3
2739,sms,peeitkõs,A,A_SAJOS,1
2829,sms,tuämmai,A,A_PRSPRC-VWCC-AI,X
2836,sms,tõpplõõvvi,A,A_PRSPRC-VVCC-I,X
2920,sms,põlvvõõvvi,A,A_PRSPRC-VVCC-I,X
2944,sms,peäccõõtti,A,A_PRSPRC-VVCC-I,X
2950,sms,mååktõõlli,A,A_PRSPRC-VVCC-I,X
2970,sms,maaltʼteʹm,A,A_NALLSHEM,1
2971,sms,vaʹlli,A,A_,X
2972,sms,maaltʼtem,A,A_NALLSHEM,1
2973,sms,vaʹlles,A,A-ATTR_,X
3021,sms,puâkkas,A,A-ATTR_,X
3022,sms,puâkkai,A,A_SAELTTAI,X
3040,sms,mäʹrǩǩmierrsaž,A,A_MEERSAZH,1
3076,sms,tuõʹllʼjeei,A,A_PRSPRC-EEI,3
3175,sms,kââllad,A,A_,X
3232,sms,apostoolverddsaž,A,A_MEERSAZH,1
3254,sms,kuâssteei,A,A_PRSPRC-EEI,3
3288,sms,leččneei,A,A_PRSPRC-EEI,3
3296,sms,väjldõʹtti,A,A_PRSPRC-VCC-I,X
3297,sms,vääžž,A,A_VAEAEZHZH,1
